context_len,entropy_bin,n,entropy_mean,entropy_min,entropy_max,empirical_accept_rate,mean_alpha_sampled,mean_exact_accept_prob,mean_q_sample,mean_p_sample,mean_target_entropy,empirical_accept_se
64,0,20,1.5296681,1.0300763,2.1272945,0.6,0.56316155,0.623732,0.42276254,0.49095574,0.23948804,0.10954451150103323
64,1,20,2.846767,2.5446436,3.259523,0.35,0.3279675,0.35201502,0.15734209,0.09096654,0.98254377,0.1066536450385077
64,2,20,3.8030727,3.3004475,4.0200553,0.0,0.013202121,0.13313675,0.13549852,0.0012147399,0.637509,0.0
64,3,20,4.312403,4.0200553,4.5905166,0.3,0.28085762,0.19991,0.03980702,0.041515358,1.5872118,0.10246950765959598
64,4,20,5.9581437,4.5905166,6.8810987,0.0,0.0068003153,0.07071608,0.019771382,7.958027e-05,1.2417527,0.0
128,0,20,1.9649122,0.10783063,2.8811915,0.45,0.42152804,0.42400312,0.4499484,0.35768282,0.63217527,0.11124297730643495
128,1,20,3.647903,2.954926,4.318966,0.25,0.23499544,0.4047072,0.09377165,0.033753075,2.522093,0.09682458365518543
128,2,20,4.7980833,4.3812313,5.1972804,0.05,0.13128749,0.26499856,0.038577966,0.007446011,1.9915669,0.04873397172404482
128,3,20,5.3230424,5.1972804,5.4841576,0.0,0.032543175,0.1270982,0.034423366,0.0010588084,0.9140927,0.0
128,4,20,6.25467,5.487659,6.9504566,0.2,0.18533145,0.11920087,0.010014043,0.00030920192,1.4350262,0.0894427190999916
