context_len,source_type,n,entropy_mean,empirical_accept_rate,mean_alpha_sampled,mean_exact_accept_prob,mean_target_entropy
64,chat,5,4.0399218,0.2,0.32511812,0.2958853,1.372626
64,code,5,6.14682,0.2,0.20000324,0.046393085,1.2630855
64,json_config,5,2.5960042,0.6,0.60000294,0.4943841,0.27529377
64,math,5,2.7363122,0.0,0.002757629,0.15856938,0.4135731
64,natural_language,5,3.3857486,0.6,0.51604337,0.36993012,2.0318742
256,chat,5,3.7274165,0.4,0.41863498,0.34380752,1.7095836
256,code,5,5.9153643,0.0,7.862967e-07,0.10850938,0.0093535455
256,json_config,5,4.1638803,0.2,0.24245997,0.32408234,1.4556696
256,math,5,2.6927962,0.6,0.6034862,0.642897,0.9181471
256,natural_language,5,3.9546304,0.6,0.48839998,0.44194525,3.5209134
