entropy_bin,n,entropy_mean,entropy_min,entropy_max,empirical_accept_rate,mean_alpha_sampled,mean_exact_accept_prob,mean_q_sample,mean_p_sample,mean_target_entropy,empirical_accept_se
0,683,0.34705776,0.0052350773,0.5505714,0.8111273792093704,0.8141535,0.8223853,0.915467,0.80165565,0.375915,0.014976787989637252
1,683,0.9597419,0.5509504,1.3000472,0.4084919472913616,0.40241304,0.40691227,0.7416286,0.36891684,0.4145277,0.018808827725932998
2,682,1.5903013,1.3006375,1.7892449,0.5205278592375366,0.5329916,0.5299226,0.44794753,0.3811647,0.8026185,0.019129846749248718
3,683,1.9812169,1.7900143,2.186367,0.5109809663250366,0.5303253,0.51843035,0.34042987,0.32343283,1.0355389,0.019127353810829112
4,682,2.352296,2.1870074,2.4891388,0.47947214076246336,0.48842838,0.5150791,0.24245217,0.23559958,1.202589,0.019129846749248718
5,683,2.5920813,2.4900694,2.6896167,0.4904831625183016,0.50171906,0.50373375,0.1673731,0.14136896,1.6067374,0.01912850240867672
6,683,2.7934024,2.6896894,2.9005089,0.513909224011713,0.51345235,0.5248947,0.11884894,0.091842175,1.7153059,0.0191245640717174
7,682,3.0297017,2.901013,3.180255,0.3343108504398827,0.32580328,0.35253537,0.106823094,0.05483828,1.2030355,0.018064202287359894
8,683,3.4579012,3.180604,3.903675,0.2547584187408492,0.257159,0.27900636,0.12682997,0.09522035,0.9877206,0.016672566556488647
9,682,4.517842,3.9056916,5.0163207,0.16422287390029325,0.1543084,0.1558476,0.069575876,0.04123143,1.2422591,0.014186324089949295
10,683,5.4669757,5.0163207,6.0221004,0.11273792093704246,0.11207015,0.113745965,0.033033565,0.03527701,1.2808932,0.01210181805248512
11,683,6.713115,6.0221004,8.039373,0.08052708638360176,0.08122019,0.08185326,0.008439473,0.008777705,1.9013059,0.010411902943369758
