bin,left,right,count,mean_score,accept_rate
0,1.5445135431946255e-05,0.01711905971169472,1088,0.008645136081034533,0.014705882352941176
1,0.01711905971169472,0.027334141358733178,1088,0.022478479787584067,0.02022058823529412
2,0.027334141358733178,0.03653693348169327,1088,0.03184828689143829,0.03768382352941176
3,0.03653693348169327,0.046129610389471054,1088,0.04125418092863744,0.06893382352941177
4,0.046129610389471054,0.058831602334976196,1088,0.052029660694054604,0.06433823529411764
5,0.058831602334976196,0.07849522531032566,1088,0.068035129659727,0.08455882352941177
6,0.07849522531032566,0.10911308079957963,1088,0.0918165095602436,0.10202205882352941
7,0.10911308079957963,0.1722327440977098,1088,0.1361530352561899,0.14981617647058823
8,0.1722327440977098,0.29744426608085633,1088,0.22745784787077675,0.3547794117647059
9,0.29744426608085633,0.9999085664749146,1088,0.5644499320153367,0.6580882352941176
