method,budget,rounds,avg_selected_nodes,avg_accepted_per_round,avg_draft_time_s,avg_comm_time_s,avg_verify_time_s,avg_total_round_time_s,total_accepted_tokens,total_time_s,effective_tps,latency_per_token_s
bfs,4,57,4.0,1.6842105263157894,0.007614167047697201,1.2800000000000002e-08,0.029940531703463773,0.037554711551160976,96.0,2.1406185584161754,44.84685028192484,0.02229810998350183
bfs,8,47,8.0,2.0425531914893615,0.014640786625603412,2.56e-08,0.03031924200501848,0.04496005423062189,96.0,2.113122548839229,45.43039874934575,0.0220116932170753
bfs,16,43,16.0,2.2325581395348837,0.02877703361039938,5.120000000000001e-08,0.03064693016714828,0.05942401497754766,96.0,2.5552326440345494,37.56996460737999,0.026617006708693224
chain,4,58,4.0,1.6551724137931034,0.015348786359717106,1.2799999999999999e-08,0.030103678269119097,0.0454524774288362,96.0,2.6362436908724995,36.415449881352785,0.02746087177992187
chain,8,58,8.0,1.6551724137931034,0.014175888793221835,2.5599999999999998e-08,0.030552353260332142,0.044728267653553984,96.0,2.594239523906131,37.00506414899322,0.027023328374022198
chain,16,58,16.0,1.6551724137931034,0.027983649409022825,5.1199999999999995e-08,0.03060449113876655,0.05858819174778938,96.0,3.398115121371784,28.250955771400054,0.03539703251428942
greedy,4,48,4.0,2.0,0.007317984166244666,1.28e-08,0.029945822587857645,0.0372638195541023,96.0,1.7886633385969106,53.671363374231014,0.01863190977705115
greedy,8,38,8.0,2.526315789473684,0.014589211364325724,2.56e-08,0.030232404799837815,0.04482164176416354,96.0,1.7032223870382146,56.36374952007138,0.0177418998649814
greedy,16,36,16.0,2.6666666666666665,0.02893822929925389,5.12e-08,0.030582744524710707,0.0595210250239646,96.0,2.1427569008627256,44.802095824005086,0.022320384383986727
