context_len,source_type,n,entropy_alpha_pearson,entropy_alpha_spearman,entropy_exact_pearson,entropy_exact_spearman
64,ALL,100,-0.5021222073409373,-0.3918826986316883,-0.6801396789743087,-0.5800249627958332
64,chat,20,-0.6194410327302886,-0.5142340535688433,-0.7184690999140432,-0.4864457831325301
64,code,20,-0.6083373137424422,-0.5039567945271788,-0.9128422003049553,-0.8210526315789473
64,json_config,20,-0.16284576594049116,-0.23925936368239545,-0.056286983986769415,0.11578947368421053
64,math,20,-0.29708393577769304,-0.06165413533834586,-0.6894161535064994,-0.7684210526315788
64,natural_language,20,-0.7015969314919307,-0.5746336620523319,-0.826171834251356,-0.7593984962406014
128,ALL,100,-0.5903002881795842,-0.5063469689307584,-0.6420059533713236,-0.5573904277279056
128,chat,20,-0.7179526252591362,-0.7225338784825557,-0.817007145782213,-0.8268072289156626
128,code,20,-0.540915367457361,-0.4500129137790048,-0.5860941388753037,-0.4466165413533834
128,json_config,20,-0.37818360880639385,-0.10303325972044554,-0.4465248927886549,0.006015037593984962
128,math,20,-0.6824693360064488,-0.7221332116700429,-0.7503163835168399,-0.7969924812030074
128,natural_language,20,-0.6519396257664872,-0.6714302414889547,-0.6895971198469859,-0.5518796992481202
